y(cm),Qn,Qp,Ce,Cn,Cp,QTLD - C,C/E
46.35/SS,1.17E-16,2.03E-16,0.1,2.70,1,2.35E-16,0.99
53.3/SS,3.41E-17,7.34E-17,0.07,2.80,1,8.01E-17,1.03
60.05/SS,9.66E-18,2.52E-17,0.05,2.90,1,2.66E-17,1.00
66.9/SS,2.72E-18,8.57E-18,0.05,3.00,1,8.98E-18,1.02
73.9/SS,7.55E-19,3.32E-18,0.05,3.09,1,3.44E-18,1.04
80.6/SS,2.24E-19,1.22E-18,0.05,3.19,1,1.26E-18,1.01
87.25/SS,6.95E-20,4.69E-19,0.05,3.29,1,4.80E-19,1.04
91.65/SS,3.08E-20,1.96E-19,0.05,3.39,1,2.01E-19,0.91
95.36/SS,1.55E-20,8.09E-20,0.05,3.50,1,8.36E-20,0.91
97.56/Cu,8.46E-21,5.51E-20,0.05,4.54,1.05,5.98E-20,1.01
9.76/SS,6.94E-21,3.54E-20,0.05,3.65,1,3.67E-20,1.02
101.96/Cu,3.94E-21,2.69E-20,0.05,5.12,1.05,2.93E-20,1.10
